"","How relevant and comprehensive did you find the content in addressing Advocacy? ","Very Relevant","Relevant","Neutral","Not Relevant","Not Sure"
"","","17","3","1","0","0"
"","","0.80952380952381","0.14285714285714","0.047619047619048","0","0"
"","Which device(s) did you use to undertake this course? (Select all that apply) ","Smartphone","Tablet","Laptop","Desktop","Other."
"","","16","1","4","0","0"
"","","0.76190476190476","0.047619047619048","0.19047619047619","0","0"
"","How accessible was the platform on the device(s) you used? ","Very accessible","Somewhat accessible","Neutral","Not accessible",""
"","","14","5","2","0",""
"","","0.66666666666667","0.23809523809524","0.095238095238095","0",""
"","How effective did you find this mode of learning compared to a physical session? ","Quite Effective","Somewhat Effective","Neutral","Not Effective",""
"","","17","3","1","0",""
"","","0.80952380952381","0.14285714285714","0.047619047619048","0",""
"","If ‘Not Effective’, Why? ","","","","",""
"","","NA","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","Quite effective","","","",""
"","","N/ A","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","Please provide any additional comments, suggestions, or areas of improvement regarding the platform, content, features, or any other aspect you'd like to share. ","maybe have the questions set at the end of the course, like immediately after the notes, he questions should be present there.","","","",""
"","","The platform isn't secure making it hard for learners to access the platform. Not everyone is familiar on how to navigate the platform. Also, the arrows making someone move to the next page can be made larger for participants.","","","",""
"","","N/A","","","",""
"","","","","","",""
"","","I love the platform for its very effective","","","",""
"","","For any first timer, the platform is abit difficult to navigate through.","","","",""
"","","Generally the platform and content is very effective and easy to access,though there is some issue when uploading file and when you return back to the platform you have to start from the beginning.","","","",""
"","","Not so great","","","",""
"","","It's features needs improvement so as to enable a one tab navigation by the user","","","",""
"","","The platform was quick to learn. It could also direct you on what assignment to take next, generally  it was owesome ","","","",""
"","","1   the platform is effective and efficient for learning
<br />2. Suggest that the learning should have option of  different   language apart from English 
<br />3.suggest that the platform use commands that can be easily understood by the user to help them navigate easily ","","","",""
"","","More courses to be established to provide us more information like that of advocacy ","","","",""
"","","Group discussion should be for the purpose of reflection of individual ideas on the broad spectrum that is Advocacy. Every individual has a strength reflecting it on another person solidifies the plan.  ","","","",""
"","","I love the platform for its very effective","","","",""
"","","Consider having an ""NEXT BOTTON"" or something at the end of each questioners. To prevent heading back to the main menu.  ","","","",""
"","","Ai powered chatbot","","","",""
"","","","","","",""
"","","It's good in learning hoping for more to come ","","","",""
"","","To provide me a laptop so that I can do my work easy than using a phone whereby sometimes I have network issues when answering questions/ training.","","","",""
"","","My suggestion is that the platform be reformed to allow Access by all devices, at all times.","","","",""
"","","When submitting the template I experienced a little bit of difficult when I tried to upload my file","","","",""
